filename,transcription
common_voice_en_1.mp3, I'm interested only in the present.
common_voice_en_10.mp3, The boy looked out at the horizon.
common_voice_en_100.mp3, I admit that I'm an alcoholic.
common_voice_en_1000.mp3, I was disappointed at this inanimate bulk.
common_voice_en_10000.mp3, The parents should look out for correct grammar and pronunciation and speak into their church.
common_voice_en_100000.mp3, I'm getting Trevor ready.
common_voice_en_100001.mp3, All I want to do is be left alone
common_voice_en_100003.mp3, Yorkshire is my county.
common_voice_en_100004.mp3, Be sure you spell the name right.
common_voice_en_100005.mp3, The population was increasing exponentially.
common_voice_en_100006.mp3, How long since we've seen each other?
common_voice_en_100007.mp3, I wish they'd stop that practicing.
common_voice_en_100008.mp3, This building has an elevator which is necessary for wheelchairs.
common_voice_en_100009.mp3, He felt unsafe like during his first lesson in driving school.
common_voice_en_10001.mp3, I find the other argument dubious.
common_voice_en_100010.mp3, The descent was disturbingly steep.
common_voice_en_100011.mp3, The chairlift took them up the mountain.
common_voice_en_100012.mp3," Well, I should think it was sudden."
common_voice_en_100013.mp3, I need some time to think
common_voice_en_100014.mp3, I feel so good I could spit.
common_voice_en_100015.mp3, That man is terrific.
common_voice_en_100016.mp3, Pizza is an Italian classic.
common_voice_en_100017.mp3, How much do you need?
common_voice_en_100018.mp3, The Englishman vanished too. Gone to find the alchemist.
common_voice_en_100019.mp3," Finally, after hours of waiting, the guard bathed the boy enter."
common_voice_en_10002.mp3, That's the fourth study I've been writing today.
common_voice_en_100020.mp3," A current of love rests from his heart, and the boy began to pray."
common_voice_en_100021.mp3, Most of them were staring quietly at the big table.
common_voice_en_100022.mp3, And then he perceived it very slowly.
common_voice_en_100023.mp3, The two men hurried back and found the cylinder still lying in the same position.
common_voice_en_100024.mp3," At other times, at a crucial moment, I make it easier for things to happen."
common_voice_en_100025.mp3, The alchemist told the boy to place the shell over his ear.
common_voice_en_100026.mp3, They locked themselves in their laboratories and tried to evolve as gold had.
common_voice_en_100027.mp3, The land was ruined and I had to find some other way to earn a living.
common_voice_en_100028.mp3,
common_voice_en_100029.mp3, The desert was all sand in some stretches and rocking waters
common_voice_en_10003.mp3," They are not really friends, they just walk together and talk from time to time."
common_voice_en_100030.mp3," I've been looking for you all morning,"" he said, as he led the boy outside."
common_voice_en_100031.mp3, თᴉ იᴗთეako ნកᴗ იᴗეჁი გეჂ჋ლ ბᴇ ʌინვვე ინიეელედჟდე.
common_voice_en_100032.mp3, ᐀� recto
common_voice_en_100033.mp3, Thank you for watching and I'll see you in the next video!
common_voice_en_100034.mp3, I just know that the tradition is always right.
common_voice_en_100035.mp3, I saw a young man standing on a cylinder and trying to scramble out of the hole again.
common_voice_en_100036.mp3, I forgot my hat.
common_voice_en_100037.mp3, Mohammed plays often with the computer.
common_voice_en_100038.mp3, Why does Melisandre look like she wants to consume John Snow on the right at the wall?
common_voice_en_100039.mp3, And my name's Michael.
common_voice_en_10004.mp3, The rule has been long and prosperous.
common_voice_en_100040.mp3, The burning fire had been extinguished.
common_voice_en_100041.mp3, He didn't want any conversation at this point.
common_voice_en_100042.mp3, I should say not.
common_voice_en_100043.mp3, I was impatient to see it opened.
common_voice_en_100044.mp3, The clever men could be ignored.
common_voice_en_100045.mp3, It was like electricity through her veins.
common_voice_en_100046.mp3, Every purchase is about...
common_voice_en_100047.mp3," Lions hunt their prey with sprints, whereas wolves take advantage of their stamina."
common_voice_en_100048.mp3, What's the matter with you?
common_voice_en_100049.mp3, Activists claim the pipeline through the Baltic Sea is leaking.
common_voice_en_100050.mp3, He was betting on that outcome.
common_voice_en_100051.mp3, I want to meet this with you.
common_voice_en_100052.mp3, Fast food is convenient but often unhealthy.
common_voice_en_100053.mp3, I've got to get started on my interview.
common_voice_en_100054.mp3, I can stand being spoiled a little.
common_voice_en_100055.mp3, What are you trying to do?
common_voice_en_100056.mp3, Have you seen my mom?
common_voice_en_100057.mp3, That's a Christmas present from a very dear friend of mine.
common_voice_en_100058.mp3, He's the only husband I've got.
common_voice_en_100059.mp3, But it is not a class that was requested by alumni or prospective students.
common_voice_en_10006.mp3, Adding new features was building my future.
common_voice_en_100060.mp3, I would put it up there.
common_voice_en_100061.mp3," Compared to other countries in the world, Japan has a very low birth rate."
common_voice_en_100062.mp3, Let him have everything he wants.
common_voice_en_100063.mp3, I had a memo from art today
common_voice_en_100064.mp3, We cannot forget that farce.
common_voice_en_100065.mp3, We will have to run if we want to catch that bus.
common_voice_en_100066.mp3, The constitution of his flat was not optimal.
common_voice_en_100067.mp3, I can't find it anywhere.
common_voice_en_100068.mp3, Tell them it's a case of serious delirium.
common_voice_en_100069.mp3, She composed an emotional song in her bedroom.
common_voice_en_100070.mp3, Machine gun fire woke the future tubes and sent them into a frenzy.
common_voice_en_100071.mp3, Garlic can be used to fight vampires.
common_voice_en_100072.mp3, Viral marketing is a buzzword used frequently by economists.
common_voice_en_100073.mp3," Yeah it's definitely worth checking out, especially if the pay is reasonable and the work is good for your career.  There was absolutely no reason for her to announce it to the entire company."
common_voice_en_100074.mp3, We visited a concert in the famous opera house in Sydney.
common_voice_en_100075.mp3, Where's your coat and hat?
common_voice_en_100076.mp3, It almost gives him the feeling he wasn't wanted.
common_voice_en_100077.mp3, Your account's still here.
common_voice_en_100078.mp3, 50 cents on the dollar
common_voice_en_100079.mp3, Coach has heard all about you.
common_voice_en_10008.mp3," As it holds, bend it here."
common_voice_en_100080.mp3," According to the predominant notion in the Vatican, condoms can be used in spite of HIV."
common_voice_en_100081.mp3," To what do I owe the pleasure of your presence, he said."
common_voice_en_100082.mp3, The package has been flagged as outdated.
common_voice_en_100083.mp3, Your father's had a stroke of luck
common_voice_en_100084.mp3," To measure the performance accurately, we need a benchmark."
common_voice_en_100085.mp3, Will you pay for it or won't you?
common_voice_en_100086.mp3, It's just exactly what I wanted.
common_voice_en_100087.mp3, We've got to get to them.
common_voice_en_100088.mp3, Caught it coming home from school
common_voice_en_100089.mp3, It was just right enough to eat
common_voice_en_100090.mp3, How do you stop this thing?
common_voice_en_100091.mp3, But it's just something I forgot to pack.
common_voice_en_100092.mp3, flowers or another magazine subscription
common_voice_en_100093.mp3, She was jealous of the girl with polish on her nails and a handsome guy at her side.
common_voice_en_100094.mp3, They're not my children.
common_voice_en_100095.mp3, Is daddy in trouble?
common_voice_en_100096.mp3, One that we will write.
common_voice_en_100097.mp3, That woman is going to be on that roof.
common_voice_en_100098.mp3, And I'll say it in my own words this time.
common_voice_en_100099.mp3, She sat on the floor drinking her coffee.
common_voice_en_1001.mp3," About 11 hours back to my home in Mayberry, because nothing seemed to be happening."
common_voice_en_10010.mp3, Den mener jeg troede om.
common_voice_en_100100.mp3," I have disabled some of the certificate authorities, but they're not greyed out in this list."
common_voice_en_100101.mp3, That's some heck you got on there
common_voice_en_100102.mp3, The paramedics took out the defibrillator to reanimate the motorcyclist.
common_voice_en_100103.mp3, One of the town's landmarks is the City Wall.
common_voice_en_100104.mp3, Can I help you peck?
common_voice_en_100105.mp3, We're not allowed to tell.
common_voice_en_100106.mp3, Don't make a government project out of this.
common_voice_en_100107.mp3, Light up with the street with Johnson.
common_voice_en_100108.mp3, You and I were the only ones that kept our heads.
common_voice_en_100109.mp3, When did you get back?
common_voice_en_10011.mp3, I guess they just can't help it
common_voice_en_100110.mp3, The aeroplane rose gracefully into the sky.
common_voice_en_100111.mp3, She had a cardigan on.
common_voice_en_100113.mp3, I know you'll pay it back when you can.
common_voice_en_100114.mp3, You don't seem like a guy that would fall into line.
common_voice_en_100115.mp3, Want someone to take you home?
common_voice_en_100116.mp3, The train lines provided an easy path to follow.
common_voice_en_100117.mp3, I wonder how many times a year this happens.
common_voice_en_100118.mp3, The volume wouldn't increase much further.
common_voice_en_100119.mp3, It just happened to be passing by.
common_voice_en_10012.mp3, Come on here now
common_voice_en_100120.mp3, Linux on desktop has about 4% market share in Germany.
common_voice_en_100121.mp3, What did you just say a minute ago?
common_voice_en_100122.mp3, I want to do what I want to do.
common_voice_en_100123.mp3, The model can be initialised with sparse coding.
common_voice_en_100124.mp3, Then who are you?
common_voice_en_100125.mp3, This president is completely lost.
common_voice_en_100127.mp3, Why don't you try Johns Hopkins in Baltimore?
common_voice_en_100128.mp3, Hurry up and we'll go out.
common_voice_en_100129.mp3," Equation 5 does not include translation, which the text suggests it does."
common_voice_en_10013.mp3, You'll get your money in 60 days.
common_voice_en_100130.mp3, Don't talk too loud.
common_voice_en_100131.mp3, I'm just your little rent collector.
common_voice_en_100132.mp3, I can see that.
common_voice_en_100133.mp3, I'm addicted to recycling.
common_voice_en_100134.mp3, He wants to get Jill started in the research business.
common_voice_en_100136.mp3, Everything vintage you can imagine that can fit into a small space is there.
common_voice_en_100137.mp3, John Catherine topped them all.
common_voice_en_100138.mp3, It's a good thing I got here in time.
common_voice_en_100139.mp3, I just got an email from my crush.
common_voice_en_100140.mp3, The file he copied ended up in the trash can.
common_voice_en_100141.mp3, We've passed her up right along.
common_voice_en_100143.mp3, Coming down the block is the biggest strip steam roller I have ever seen.
common_voice_en_100144.mp3, I'm afraid I already know great many people.
common_voice_en_100145.mp3, He's always making a speech.
common_voice_en_100146.mp3, They have cheap sausages and fries at the brewery tomorrow.
common_voice_en_100147.mp3, Do you understand that?
common_voice_en_100148.mp3, There goes another scrap lady.
common_voice_en_100149.mp3," Fan blade spun in the summer's eve, calling the guests below."
common_voice_en_10015.mp3, HTML is not a programming language.
common_voice_en_100150.mp3, Isn't it all too wonderful?
common_voice_en_100151.mp3, What time is it?
common_voice_en_100152.mp3, This must obviously be a challenge for her.
common_voice_en_100153.mp3, That sounds like their problem.
common_voice_en_100154.mp3, and he came down after the game with the contract.
common_voice_en_100155.mp3, And so will you.
common_voice_en_100156.mp3, When you need this getaway
common_voice_en_100157.mp3, I can smell it.
common_voice_en_100158.mp3, This is Mr. Zach Carter.
common_voice_en_100159.mp3, I thought I'd give the kids a treat.
common_voice_en_10016.mp3, My room for Mrs. Chelsea
common_voice_en_100160.mp3, Formatting of tables should be improved.
common_voice_en_100161.mp3, I saw him get it.
common_voice_en_100162.mp3, The sunset sometimes turns the sky red.
common_voice_en_100163.mp3," From where I am, the Sun said, I can see the soul of the world."
common_voice_en_100164.mp3, The Englishman had several suitcases filled with books.
common_voice_en_100165.mp3, The hand with the whip pointed to the south.
common_voice_en_100166.mp3," This can't be stressed enough. I am innocent, he cried desperately."
common_voice_en_100167.mp3, The blaze is full of cockroaches.
common_voice_en_100168.mp3, A woman ought to be prepared for any emergency.
common_voice_en_100169.mp3, I warned her that I wasn't coming.
common_voice_en_10017.mp3, You guys can get 3 box left
common_voice_en_100170.mp3, So you combine pleasure with business.
common_voice_en_100171.mp3, It was due to our knowledge and experience that she solved the mystery first.
common_voice_en_100172.mp3, Did you know there's a word on?
common_voice_en_100173.mp3, I'm proud of people to drown in the fountain.
common_voice_en_100174.mp3, this sapling will once become a giant oak tree
common_voice_en_100175.mp3, it is generally less air-fond than using the balty and switch to com-
common_voice_en_100176.mp3, Well brings you good luck for 10 years.
common_voice_en_100177.mp3, Then he may be caught on a lade.
common_voice_en_100178.mp3," It was the Levantor, the wind that came from Africa."
common_voice_en_100179.mp3, I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack I have no intention of sharing.
common_voice_en_10018.mp3, I swear it on my mother's grave.
common_voice_en_100182.mp3," Goodbye, said the boy."
common_voice_en_100183.mp3, It brought his heart into his mouth.
common_voice_en_100184.mp3," I pointed out Mars, a bright dot of light."
common_voice_en_100185.mp3," It's the other foreigner, the Englishman."
common_voice_en_100187.mp3, because you have already lost your savings twice.
common_voice_en_100188.mp3, I don't want to change anything because I don't know how to deal with change
common_voice_en_100189.mp3, One night the father had a dream.
common_voice_en_10019.mp3," Coffee coated all the surfaces, it was just extremely sticky."
common_voice_en_100190.mp3," As they moved along, the boy tried to listen to his heart."
common_voice_en_100191.mp3, The merchants were assembling their stalls and the boy helped a candy seller to do his.
common_voice_en_100192.mp3, Not until the moon was high did the alchemist ride into view.
common_voice_en_100193.mp3," Asked the owner of that stall how much the sword costs, he said to his friend."
common_voice_en_100194.mp3," Well, why don't you go to Mecca now? asked the boy"
common_voice_en_100195.mp3, only when he consents.
common_voice_en_100196.mp3, He said that everything has its own destiny.
common_voice_en_100197.mp3, It's called the principle of favorability.
common_voice_en_100198.mp3, They filled three sacks.
common_voice_en_100199.mp3, The problem is that they don't even realize that they're walking a new road every day.
common_voice_en_1002.mp3, At that time it was clear in my own mind that the thing had come from the planet Mars.
common_voice_en_100200.mp3, From the railway station in the distance came the sound of trains ringing and rumbling.
common_voice_en_100201.mp3, He picked up the two stones and put them back in his pouch.
common_voice_en_100202.mp3, And there I spoke of death.
common_voice_en_100203.mp3," When he saw Henderson in his garden, he called over the fence and made himself understood."
common_voice_en_100204.mp3, When were these books written? the boy asked.
common_voice_en_100205.mp3, and ask for a glass of wine for me.
common_voice_en_100206.mp3, He had surprised himself with the thought.
common_voice_en_100207.mp3, The Englishman was disappointed.
common_voice_en_100208.mp3," Three days from now, he would be with the merchant's daughter."
common_voice_en_100209.mp3, Can I help you? Ask the man behind the window.
common_voice_en_10021.mp3, I always have been
common_voice_en_100210.mp3," It's true, life really is generous to those who pursue their destiny, the boy thought."
common_voice_en_100211.mp3, And the murmur lasted longer than a simple vowel would have.
common_voice_en_100212.mp3, He should respect tradition.
common_voice_en_100213.mp3, Another trick the boy thought.
common_voice_en_100214.mp3, I don't know the desert that well yet.
common_voice_en_100215.mp3," They made the boy continue digging, but he found nothing."
common_voice_en_100216.mp3, Rest well as if you wear a warrior preparing for a combat.
common_voice_en_100217.mp3, But Fatima's hands held the handles of a jug.
common_voice_en_100218.mp3, The boy continued to listen to his heart as they crossed the desert.
common_voice_en_100219.mp3, They never found the secret.
common_voice_en_10022.mp3, The money is mine today
common_voice_en_100220.mp3, ༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀༀ
common_voice_en_100221.mp3," They might have even become friends, but the Englishman closed off the conversation."
common_voice_en_100222.mp3," So now, I'm a Camel Driver."
common_voice_en_100223.mp3, The strange horseman drew an enormous curved sword from a scabbard mounted on his saddle.
common_voice_en_100224.mp3, The Englishman was disappointed.
common_voice_en_100225.mp3, It was no more exciting than an overturned carriage or a tree blown across the road.
common_voice_en_100226.mp3," There is a variety of possibilities, but the checkpoint pattern doesn't seem appropriate here."
common_voice_en_100227.mp3, Do you know what?
common_voice_en_100228.mp3, They can't use the Gena dog clubs for politics.
common_voice_en_100229.mp3, I'm getting them for 12 dollars a night.
common_voice_en_10023.mp3, شكرا لكم
common_voice_en_100230.mp3, It was a fighter jet flying between the buildings.
common_voice_en_100231.mp3, Give this essay one of six points
common_voice_en_100232.mp3," Of course, the two were unable to do anything."
common_voice_en_100233.mp3, I was scared but wasted no time in going out and crossing the bridge to the sand pits.
common_voice_en_100234.mp3," Looking through the telescope, I saw a circle of deep blue and the little round planet."
common_voice_en_100235.mp3, Ogably watched till one and then gave up.
common_voice_en_100236.mp3," Coming home, a party of tourists passed us, singing and playing music."
common_voice_en_100237.mp3, The thought was so dreadful to him that he forgot about the heat and went forward.
common_voice_en_100238.mp3, I just don't trust anyone who says they've never had hamburger helper.
common_voice_en_100239.mp3," It was glaringly hot, not a cloud in the sky nor a breath of wind."
common_voice_en_10024.mp3, оттенк скромный факт
common_voice_en_100240.mp3, The time must have been somewhere around six o'clock.
common_voice_en_100241.mp3," If a person is living out his destiny, he knows everything he needs to know."
common_voice_en_100242.mp3, He began to dig at the base of the Sycamore.
common_voice_en_100243.mp3, He was learning a lot of new things.
common_voice_en_100244.mp3, Imagine if everyone went around transforming lead into gold.
common_voice_en_100245.mp3," ""'Because my eyes are not yet accustomed to the desert,' the boy said."""
common_voice_en_100246.mp3, He thought of all the married shepherds he had known.
common_voice_en_100247.mp3," I want to tell you a story about dreams, say the Alchemist."
common_voice_en_100248.mp3, The guy thought he was a lunatic at large and made an unsuccessful attempt to stop him.
common_voice_en_100249.mp3," No one can be from any places, the boy said."
common_voice_en_10025.mp3, I got to figure something out at this time.
common_voice_en_100250.mp3, But the merchant understood what the boy had said.
common_voice_en_100251.mp3, The alchemists spend years in their laboratories observing the fire that purified the metals.
common_voice_en_100252.mp3, In those days very few of the people had any idea about astronomy.
common_voice_en_100253.mp3," The next day, the boy met the old man at noon."
common_voice_en_100254.mp3," Now, I can mean it's called the Soul of the World."
common_voice_en_100255.mp3, What is a foreigner doing here? Ask another of the men.
common_voice_en_100256.mp3, Tower of Strength
common_voice_en_100257.mp3, Can I see the movie times for the Great Escape theaters?
common_voice_en_100258.mp3, I'll be next door.
common_voice_en_100259.mp3, I may have overslept.
common_voice_en_10026.mp3," When you are ready for even faster browsing, check out my post on custom web commands with the app driver."
common_voice_en_100260.mp3, Add my track to old-school metal playlist.
common_voice_en_100261.mp3, Book me a reservation for midday at French Camp Academy.
common_voice_en_100262.mp3, I heard a faint movement under my feet.
common_voice_en_100263.mp3," Coming home, a party of two espasas singing and playing music."
common_voice_en_100264.mp3, About 11 I walked back to my home in my neighbouring because nothing seemed to be happening.
common_voice_en_100265.mp3, At that time it was quite clear in my mind that things had come from Planet Mars.
common_voice_en_100266.mp3," Before guns were invented, armies had to throw bullets at each other and if bullets touched you, you have to set out until the next war."
common_voice_en_100267.mp3, I'm going to do it.
common_voice_en_100268.mp3, Air was either entering or escaping at the rim with a thin system sound.
common_voice_en_100269.mp3, There was very little talking.
common_voice_en_10027.mp3," Angelice Faggant, she told me"
common_voice_en_100270.mp3, We had seen the shooting stars and persuaded that meteorite lay somewhere nearby.
common_voice_en_100271.mp3, I don't want any plastics.
common_voice_en_100272.mp3, But everyone and his Aunt Lilian's had been through that bag.
common_voice_en_100273.mp3, Benjamin was snacking on strips of bacon.
common_voice_en_100274.mp3, I don't blame you.
common_voice_en_100275.mp3," I think someone, somebody stole one of his crown jewel."
common_voice_en_100276.mp3, Only Christ could wait quite as long as the other.
common_voice_en_100277.mp3, Are you going to go to Juliet?
common_voice_en_100278.mp3, He heard the war.
common_voice_en_100279.mp3, Do you know what?
common_voice_en_10028.mp3, They started right and right then...
common_voice_en_100280.mp3, There is a way out.
common_voice_en_100281.mp3, Say something else.
common_voice_en_100282.mp3, Would you like a cappuccino?
common_voice_en_100283.mp3, Until they be garnished.
common_voice_en_100284.mp3, Shall we have any friends?
common_voice_en_100285.mp3, you let out number five
common_voice_en_100286.mp3, We need to talk.
common_voice_en_100287.mp3, We are near the end of the beginning and that feels great.
common_voice_en_100288.mp3, He really doesn't look so bad
common_voice_en_100289.mp3, but you can't bring them in here
common_voice_en_100290.mp3, Come down to dinner this minute.
common_voice_en_100291.mp3, You won't want to kill anyone.
common_voice_en_100292.mp3, Never mind about that.
common_voice_en_100293.mp3, The county lane was muddy and poorly lit.
common_voice_en_100294.mp3, You know it is.
common_voice_en_100295.mp3, We better forget it.
common_voice_en_100296.mp3, Caesar.
common_voice_en_100297.mp3, in the Shoreline Hotel.
common_voice_en_100298.mp3, With a bag of musk bellow.
common_voice_en_100299.mp3, That wasn't all necessary.
common_voice_en_1003.mp3, someone away while I was there and other people came
common_voice_en_10030.mp3," Of course, that's all you need to do to see the idea of the problem."
common_voice_en_100300.mp3, You don't deny that.
common_voice_en_100301.mp3, The proposal approach provides state-of-the-art results at very low computation costs.
common_voice_en_100302.mp3, Uncle Jack and I are going to miss you.
common_voice_en_100303.mp3," If you want something, you gotta go get it."
common_voice_en_100304.mp3, The one you marry has got to swim rivers for you.
common_voice_en_100305.mp3, I recommend investing in a good microphone.
common_voice_en_100306.mp3, I'm on the job.
common_voice_en_100307.mp3," He ate his dinner in solitude, contemplating his solemn task."
common_voice_en_100308.mp3, without a single quiver
